,name,pathscplex,flatintvarscplex,flatintconstraintscplex,flattimecplex,time,comtime
80,benchmark_puzzles/benchmarks3x3/40/puzzle2.txt,0.0,342.0,283.0,0.10617599999999999,0.0009000000000000002,0.10707599999999999
81,benchmark_puzzles/benchmarks3x3/40/puzzle3.txt,0.0,387.0,293.0,0.110649,0.0008749999999999999,0.111524
82,benchmark_puzzles/benchmarks3x3/40/puzzle4.txt,0.0,279.0,233.0,0.11193199999999999,0.0007,0.112632
83,benchmark_puzzles/benchmarks3x3/40/puzzle5.txt,0.0,351.0,285.0,0.10868,0.0009000000000000002,0.10958
84,benchmark_puzzles/benchmarks3x3/40/puzzle6.txt,0.0,423.0,319.0,0.113114,0.001,0.11411400000000001
85,benchmark_puzzles/benchmarks3x3/40/puzzle7.txt,0.0,252.0,209.0,0.105157,0.0007,0.105857
86,benchmark_puzzles/benchmarks3x3/40/puzzle8.txt,0.0,396.0,304.0,0.11281400000000001,0.001125,0.11393900000000001
87,benchmark_puzzles/benchmarks3x3/40/puzzle9.txt,0.0,369.0,289.0,0.10893800000000001,0.0008500000000000001,0.10978800000000001
88,benchmark_puzzles/benchmarks3x3/40/puzzle10.txt,0.0,432.0,312.0,0.113028,0.001225,0.11425300000000001
89,benchmark_puzzles/benchmarks3x3/40/puzzle11.txt,0.0,306.0,239.0,0.109525,0.0008,0.11032499999999999
90,benchmark_puzzles/benchmarks3x3/40/puzzle12.txt,0.0,405.0,315.0,0.113192,0.0013249999999999998,0.11451700000000001
91,benchmark_puzzles/benchmarks3x3/40/puzzle13.txt,0.0,459.0,327.0,0.111972,0.0011999999999999995,0.113172
92,benchmark_puzzles/benchmarks3x3/40/puzzle14.txt,0.0,324.0,261.0,0.10998599999999999,0.00075,0.11073599999999999
93,benchmark_puzzles/benchmarks3x3/40/puzzle15.txt,0.0,288.0,226.0,0.10869000000000001,0.0007500000000000001,0.10944000000000001
94,benchmark_puzzles/benchmarks3x3/40/puzzle16.txt,0.0,396.0,313.0,0.11110999999999999,0.00035,0.11145999999999999
95,benchmark_puzzles/benchmarks3x3/40/puzzle17.txt,0.0,414.0,317.0,0.10751,0.0017250000000000002,0.109235
96,benchmark_puzzles/benchmarks3x3/40/puzzle18.txt,0.0,477.0,331.0,0.113174,0.0011,0.114274
97,benchmark_puzzles/benchmarks3x3/40/puzzle19.txt,0.0,378.0,300.0,0.106832,0.000925,0.10775699999999999
98,benchmark_puzzles/benchmarks3x3/40/puzzle20.txt,0.0,369.0,298.0,0.106732,0.00125,0.107982
99,benchmark_puzzles/benchmarks3x3/45/puzzle1.txt,0.0,369.0,298.0,0.107025,0.001225,0.10825
100,benchmark_puzzles/benchmarks3x3/45/puzzle2.txt,0.0,378.0,300.0,0.106651,0.0009749999999999998,0.107626
101,benchmark_puzzles/benchmarks3x3/45/puzzle3.txt,0.0,414.0,299.0,0.11253699999999998,0.00145,0.11398699999999998
102,benchmark_puzzles/benchmarks3x3/45/puzzle4.txt,0.0,342.0,283.0,0.108143,0.0008250000000000003,0.10896800000000001
103,benchmark_puzzles/benchmarks3x3/45/puzzle5.txt,0.0,405.0,306.0,0.11098,0.00135,0.11233
104,benchmark_puzzles/benchmarks3x3/45/puzzle6.txt,0.0,459.0,327.0,0.10946600000000001,0.001175,0.110641
105,benchmark_puzzles/benchmarks3x3/45/puzzle7.txt,0.0,279.0,224.0,0.107833,0.001,0.108833
106,benchmark_puzzles/benchmarks3x3/45/puzzle8.txt,0.0,459.0,318.0,0.11162899999999999,0.002825,0.11445399999999999
