name,pathsgurobi,flatintvarsgurobi,flatintconstraintsgurobi,flattimegurobi
benchmark_puzzles/benchmarks3x3/40/puzzle9.txt,0.0,369.0,289.0,0.128547
benchmark_puzzles/benchmarks3x3/40/puzzle10.txt,0.0,432.0,312.0,0.156207
benchmark_puzzles/benchmarks3x3/40/puzzle11.txt,0.0,306.0,239.0,0.128649
benchmark_puzzles/benchmarks3x3/40/puzzle12.txt,0.0,405.0,315.0,0.120574
benchmark_puzzles/benchmarks3x3/40/puzzle13.txt,0.0,459.0,327.0,0.121554
benchmark_puzzles/benchmarks3x3/40/puzzle14.txt,0.0,324.0,261.0,0.121879
benchmark_puzzles/benchmarks3x3/40/puzzle15.txt,0.0,288.0,226.0,0.113466
benchmark_puzzles/benchmarks3x3/40/puzzle16.txt,0.0,396.0,313.0,0.111933
benchmark_puzzles/benchmarks3x3/40/puzzle17.txt,0.0,414.0,317.0,0.114861
benchmark_puzzles/benchmarks3x3/40/puzzle18.txt,0.0,477.0,331.0,0.120367
benchmark_puzzles/benchmarks3x3/40/puzzle19.txt,0.0,378.0,300.0,0.116106
benchmark_puzzles/benchmarks3x3/40/puzzle20.txt,0.0,369.0,298.0,0.117511
benchmark_puzzles/benchmarks3x3/45/puzzle1.txt,0.0,369.0,298.0,0.129218
benchmark_puzzles/benchmarks3x3/45/puzzle2.txt,0.0,378.0,300.0,0.114197
benchmark_puzzles/benchmarks3x3/45/puzzle3.txt,0.0,414.0,299.0,0.115272
benchmark_puzzles/benchmarks3x3/45/puzzle4.txt,0.0,342.0,283.0,0.111507
benchmark_puzzles/benchmarks3x3/45/puzzle5.txt,0.0,405.0,306.0,0.120635
benchmark_puzzles/benchmarks3x3/45/puzzle6.txt,0.0,459.0,327.0,0.123932
benchmark_puzzles/benchmarks3x3/45/puzzle7.txt,0.0,279.0,224.0,0.114807
benchmark_puzzles/benchmarks3x3/45/puzzle8.txt,0.0,459.0,318.0,0.118018
benchmark_puzzles/benchmarks3x3/45/puzzle9.txt,0.0,423.0,319.0,0.113212
benchmark_puzzles/benchmarks3x3/45/puzzle10.txt,0.0,468.0,320.0,0.115033
benchmark_puzzles/benchmarks3x3/45/puzzle11.txt,0.0,405.0,315.0,0.111201
benchmark_puzzles/benchmarks3x3/45/puzzle12.txt,0.0,477.0,331.0,0.112571
benchmark_puzzles/benchmarks3x3/45/puzzle13.txt,0.0,504.0,337.0,0.114458
benchmark_puzzles/benchmarks3x3/45/puzzle14.txt,0.0,369.0,289.0,0.108682
benchmark_puzzles/benchmarks3x3/45/puzzle15.txt,0.0,378.0,291.0,0.114534
benchmark_puzzles/benchmarks3x3/45/puzzle16.txt,0.0,405.0,315.0,0.111099
benchmark_puzzles/benchmarks3x3/45/puzzle17.txt,0.0,441.0,323.0,0.113409
benchmark_puzzles/benchmarks3x3/45/puzzle18.txt,0.0,486.0,333.0,0.117771
benchmark_puzzles/benchmarks3x3/45/puzzle19.txt,0.0,405.0,315.0,0.111183
benchmark_puzzles/benchmarks3x3/45/puzzle20.txt,0.0,441.0,314.0,0.11807
benchmark_puzzles/benchmarks3x3/50/puzzle1.txt,0.0,396.0,304.0,0.11109
benchmark_puzzles/benchmarks3x3/50/puzzle2.txt,0.0,387.0,302.0,0.11027
benchmark_puzzles/benchmarks3x3/50/puzzle3.txt,0.0,486.0,333.0,0.116548
benchmark_puzzles/benchmarks3x3/50/puzzle4.txt,0.0,387.0,302.0,0.109539
benchmark_puzzles/benchmarks3x3/50/puzzle5.txt,0.0,477.0,331.0,0.111491
benchmark_puzzles/benchmarks3x3/50/puzzle6.txt,0.0,513.0,339.0,0.113614
benchmark_puzzles/benchmarks3x3/50/puzzle7.txt,0.0,315.0,250.0,0.116001
benchmark_puzzles/benchmarks3x3/50/puzzle8.txt,0.0,495.0,335.0,0.117884
benchmark_puzzles/benchmarks3x3/50/puzzle9.txt,0.0,468.0,329.0,0.116137
benchmark_puzzles/benchmarks3x3/50/puzzle10.txt,0.0,477.0,322.0,0.113045
benchmark_puzzles/benchmarks3x3/50/puzzle11.txt,0.0,477.0,331.0,0.116188
benchmark_puzzles/benchmarks3x3/50/puzzle12.txt,0.0,513.0,339.0,0.117899
benchmark_puzzles/benchmarks3x3/50/puzzle13.txt,0.0,522.0,341.0,0.116557
benchmark_puzzles/benchmarks3x3/50/puzzle14.txt,0.0,405.0,297.0,0.112243
benchmark_puzzles/benchmarks3x3/50/puzzle15.txt,0.0,414.0,299.0,0.111727
benchmark_puzzles/benchmarks3x3/50/puzzle16.txt,0.0,441.0,323.0,0.111032
benchmark_puzzles/benchmarks3x3/50/puzzle17.txt,0.0,495.0,335.0,0.113518
benchmark_puzzles/benchmarks3x3/50/puzzle18.txt,0.0,522.0,341.0,0.118809
benchmark_puzzles/benchmarks3x3/50/puzzle19.txt,0.0,441.0,323.0,0.116964
benchmark_puzzles/benchmarks3x3/50/puzzle20.txt,0.0,459.0,318.0,0.112344
benchmark_puzzles/benchmarks3x3/55/puzzle1.txt,0.0,468.0,329.0,0.112842
benchmark_puzzles/benchmarks3x3/55/puzzle2.txt,0.0,405.0,306.0,0.107861
benchmark_puzzles/benchmarks3x3/55/puzzle3.txt,0.0,549.0,347.0,0.12092
benchmark_puzzles/benchmarks3x3/55/puzzle4.txt,0.0,468.0,329.0,0.11588
benchmark_puzzles/benchmarks3x3/55/puzzle5.txt,0.0,531.0,343.0,0.121014
benchmark_puzzles/benchmarks3x3/55/puzzle6.txt,0.0,540.0,345.0,0.116648
benchmark_puzzles/benchmarks3x3/55/puzzle7.txt,0.0,414.0,317.0,0.110363
benchmark_puzzles/benchmarks3x3/55/puzzle8.txt,0.0,522.0,341.0,0.118949
benchmark_puzzles/benchmarks3x3/55/puzzle9.txt,0.0,495.0,335.0,0.119975
benchmark_puzzles/benchmarks3x3/55/puzzle10.txt,0.0,513.0,339.0,0.11592
benchmark_puzzles/benchmarks3x3/55/puzzle11.txt,0.0,486.0,333.0,0.116543
benchmark_puzzles/benchmarks3x3/55/puzzle12.txt,0.0,522.0,341.0,0.118304
benchmark_puzzles/benchmarks3x3/55/puzzle13.txt,0.0,522.0,341.0,0.118217
