,name,pathsgurobi,flatintvarsgurobi,flatintconstraintsgurobi,flattimegurobi,time,comtime
84,benchmark_puzzles/benchmarks3x3/40/puzzle6.txt,0.0,423.0,319.0,0.12384,0.0015384615384615385,0.12537846153846155
85,benchmark_puzzles/benchmarks3x3/40/puzzle7.txt,0.0,252.0,209.0,0.137207,0.00037692307692307683,0.13758392307692308
86,benchmark_puzzles/benchmarks3x3/40/puzzle8.txt,0.0,396.0,304.0,0.122314,0.0012615384615384613,0.12357553846153847
87,benchmark_puzzles/benchmarks3x3/40/puzzle9.txt,0.0,369.0,289.0,0.128547,0.001292307692307692,0.1298393076923077
88,benchmark_puzzles/benchmarks3x3/40/puzzle10.txt,0.0,432.0,312.0,0.15620699999999998,0.001653846153846154,0.15786084615384613
89,benchmark_puzzles/benchmarks3x3/40/puzzle11.txt,0.0,306.0,239.0,0.128649,0.0011384615384615385,0.12978746153846155
90,benchmark_puzzles/benchmarks3x3/40/puzzle12.txt,0.0,405.0,315.0,0.120574,0.0016000000000000005,0.122174
91,benchmark_puzzles/benchmarks3x3/40/puzzle13.txt,0.0,459.0,327.0,0.121554,0.0015692307692307696,0.12312323076923076
92,benchmark_puzzles/benchmarks3x3/40/puzzle14.txt,0.0,324.0,261.0,0.121879,0.0011230769230769233,0.12300207692307692
93,benchmark_puzzles/benchmarks3x3/40/puzzle15.txt,0.0,288.0,226.0,0.11346600000000001,0.0010769230769230773,0.11454292307692308
94,benchmark_puzzles/benchmarks3x3/40/puzzle16.txt,0.0,396.0,313.0,0.11193299999999999,0.0014846153846153848,0.11341761538461538
95,benchmark_puzzles/benchmarks3x3/40/puzzle17.txt,0.0,414.0,317.0,0.11486099999999999,0.0016153846153846153,0.1164763846153846
96,benchmark_puzzles/benchmarks3x3/40/puzzle18.txt,0.0,477.0,331.0,0.120367,0.001592307692307693,0.1219593076923077
97,benchmark_puzzles/benchmarks3x3/40/puzzle19.txt,0.0,378.0,300.0,0.116106,0.001276923076923077,0.11738292307692308
98,benchmark_puzzles/benchmarks3x3/40/puzzle20.txt,0.0,369.0,298.0,0.11751099999999999,0.00036153846153846164,0.11787253846153845
99,benchmark_puzzles/benchmarks3x3/45/puzzle1.txt,0.0,369.0,298.0,0.129218,0.0014076923076923075,0.1306256923076923
100,benchmark_puzzles/benchmarks3x3/45/puzzle2.txt,0.0,378.0,300.0,0.114197,0.0013230769230769225,0.11552007692307693
101,benchmark_puzzles/benchmarks3x3/45/puzzle3.txt,0.0,414.0,299.0,0.115272,0.0015923076923076915,0.11686430769230768
102,benchmark_puzzles/benchmarks3x3/45/puzzle4.txt,0.0,342.0,283.0,0.111507,0.0011615384615384615,0.11266853846153846
103,benchmark_puzzles/benchmarks3x3/45/puzzle5.txt,0.0,405.0,306.0,0.12063499999999999,0.000623076923076923,0.12125807692307691
104,benchmark_puzzles/benchmarks3x3/45/puzzle6.txt,0.0,459.0,327.0,0.123932,0.0015923076923076915,0.12552430769230769
105,benchmark_puzzles/benchmarks3x3/45/puzzle7.txt,0.0,279.0,224.0,0.11480699999999999,0.0012076923076923074,0.1160146923076923
106,benchmark_puzzles/benchmarks3x3/45/puzzle8.txt,0.0,459.0,318.0,0.11801800000000001,0.0019000000000000004,0.11991800000000001
107,benchmark_puzzles/benchmarks3x3/45/puzzle9.txt,0.0,423.0,319.0,0.113212,0.0015076923076923082,0.1147196923076923
108,benchmark_puzzles/benchmarks3x3/45/puzzle10.txt,0.0,468.0,320.0,0.115033,0.002553846153846154,0.11758684615384615
109,benchmark_puzzles/benchmarks3x3/45/puzzle11.txt,0.0,405.0,315.0,0.111201,0.0013230769230769231,0.11252407692307692
110,benchmark_puzzles/benchmarks3x3/45/puzzle12.txt,0.0,477.0,331.0,0.112571,0.002338461538461537,0.11490946153846154
111,benchmark_puzzles/benchmarks3x3/45/puzzle13.txt,0.0,504.0,337.0,0.11445799999999999,0.0030153846153846147,0.1174733846153846
112,benchmark_puzzles/benchmarks3x3/45/puzzle14.txt,0.0,369.0,289.0,0.10868199999999999,0.0012230769230769226,0.10990507692307691
113,benchmark_puzzles/benchmarks3x3/45/puzzle15.txt,0.0,378.0,291.0,0.114534,0.0013307692307692304,0.11586476923076923
114,benchmark_puzzles/benchmarks3x3/45/puzzle16.txt,0.0,405.0,315.0,0.111099,0.0014538461538461539,0.11255284615384616
115,benchmark_puzzles/benchmarks3x3/45/puzzle17.txt,0.0,441.0,323.0,0.113409,0.002161538461538461,0.11557053846153846
116,benchmark_puzzles/benchmarks3x3/45/puzzle18.txt,0.0,486.0,333.0,0.117771,0.0015461538461538455,0.11931715384615385
117,benchmark_puzzles/benchmarks3x3/45/puzzle19.txt,0.0,405.0,315.0,0.11118299999999999,0.0013461538461538454,0.11252915384615383
118,benchmark_puzzles/benchmarks3x3/45/puzzle20.txt,0.0,441.0,314.0,0.11807000000000001,0.001738461538461539,0.11980846153846154
119,benchmark_puzzles/benchmarks3x3/50/puzzle1.txt,0.0,396.0,304.0,0.11109000000000001,0.0015538461538461535,0.11264384615384616
120,benchmark_puzzles/benchmarks3x3/50/puzzle2.txt,0.0,387.0,302.0,0.11027,0.0014384615384615382,0.11170846153846155
121,benchmark_puzzles/benchmarks3x3/50/puzzle3.txt,0.0,486.0,333.0,0.116548,0.0024307692307692307,0.11897876923076924
122,benchmark_puzzles/benchmarks3x3/50/puzzle4.txt,0.0,387.0,302.0,0.10953900000000001,0.001284615384615384,0.1108236153846154
123,benchmark_puzzles/benchmarks3x3/50/puzzle5.txt,0.0,477.0,331.0,0.111491,0.0023076923076923075,0.11379869230769231
124,benchmark_puzzles/benchmarks3x3/50/puzzle6.txt,0.0,513.0,339.0,0.113614,0.0025153846153846155,0.11612938461538462
125,benchmark_puzzles/benchmarks3x3/50/puzzle7.txt,0.0,315.0,250.0,0.11600099999999999,0.0013230769230769233,0.11732407692307692
126,benchmark_puzzles/benchmarks3x3/50/puzzle8.txt,0.0,495.0,335.0,0.11788399999999999,0.0026461538461538463,0.12053015384615383
127,benchmark_puzzles/benchmarks3x3/50/puzzle9.txt,0.0,468.0,329.0,0.11613699999999999,0.001646153846153846,0.11778315384615384
128,benchmark_puzzles/benchmarks3x3/50/puzzle10.txt,0.0,477.0,322.0,0.113045,0.0024307692307692303,0.11547576923076924
129,benchmark_puzzles/benchmarks3x3/50/puzzle11.txt,0.0,477.0,331.0,0.11618800000000001,0.0021384615384615387,0.11832646153846155
130,benchmark_puzzles/benchmarks3x3/50/puzzle12.txt,0.0,513.0,339.0,0.117899,0.004900000000000001,0.122799
131,benchmark_puzzles/benchmarks3x3/50/puzzle13.txt,0.0,522.0,341.0,0.116557,0.0035153846153846155,0.12007238461538461
132,benchmark_puzzles/benchmarks3x3/50/puzzle14.txt,0.0,405.0,297.0,0.11224300000000001,0.001415384615384615,0.11365838461538462
133,benchmark_puzzles/benchmarks3x3/50/puzzle15.txt,0.0,414.0,299.0,0.11172699999999999,0.0016230769230769226,0.11335007692307691
134,benchmark_puzzles/benchmarks3x3/50/puzzle16.txt,0.0,441.0,323.0,0.11103199999999999,0.0017615384615384613,0.11279353846153846
135,benchmark_puzzles/benchmarks3x3/50/puzzle17.txt,0.0,495.0,335.0,0.11351800000000001,0.003961538461538461,0.11747953846153847
136,benchmark_puzzles/benchmarks3x3/50/puzzle18.txt,0.0,522.0,341.0,0.118809,0.00193076923076923,0.12073976923076923
137,benchmark_puzzles/benchmarks3x3/50/puzzle19.txt,0.0,441.0,323.0,0.11696400000000001,0.0015153846153846155,0.11847938461538463
138,benchmark_puzzles/benchmarks3x3/50/puzzle20.txt,0.0,459.0,318.0,0.112344,0.0022230769230769227,0.11456707692307692
